dtfk1,ft5,dtfk14,dtsk14,class
47,156,47,63,1
62,125,62,63,1
63,140,47,63,1
109,47,31,15,1
78,578,47,46,1
32,79,31,15,1
78,15,79,63,1
63,47,63,63,1
78,32,79,63,1
119,47,94,78,1
94,31,94,78,1
15,16,94,78,1
78,47,47,47,1
47,47,63,31,1
235,31,47,47,1
79,312,63,62,1
94,188,78,78,1
78,172,63,62,1
109,156,125,109,1
125,109,78,124,1
93,547,125,109,1
94,47,16,31,1
110,625,78,78,1
31,656,16,31,1
62,32,94,78,1
62,16,62,62,1
16,16,94,78,1
94,94,78,94,1
110,141,93,109,1
109,78,78,94,1
78,32,78,93,1
94,15,31,47,1
94,47,78,93,1
47,156,63,79,1
78,16,47,94,1
16,16,63,79,1
47,31,62,94,1
250,125,62,93,1
78,46,62,94,1
78,141,94,78,1
110,109,125,94,1
94,94,94,78,1
109,62,15,47,1
63,703,15,31,1
94,15,15,47,1
78,31,63,62,2
78,31,78,78,2
78,16,63,62,2
375,31,93,110,2
94,32,110,78,2
171,94,93,110,2
78,94,110,78,1
94,125,94,78,1
94,125,110,78,1
93,94,78,78,1
250,62,109,125,1
140,93,78,78,1
562,109,93,78,1
93,78,78,94,1
156,78,93,78,1
125,63,78,109,1
38,15,156,391,1
16,46,78,109,1
94,63,94,140,1
78,78,78,109,1
125,62,94,140,1
109,47,63,78,2
63,47,63,110,2
32,1000,63,78,2
141,15,93,109,1
93,15,94,94,1
234,15,93,109,1
62,16,62,78,1
63,15,63,94,1
78,16,62,78,1
62,31,47,63,2
47,15,63,47,2
63,31,47,63,2
141,259,94,125,1
109,172,156,109,1
125,223,94,125,1
94,62,15,16,1
78,63,109,79,1
140,62,15,16,1
172,31,78,62,2
219,16,78,78,2
140,16,78,62,2
57,442,33,61,2
192,411,78,78,2
74,185,33,61,2
125,125,78,63,1
172,125,78,46,1
94,125,78,63,1
78,16,79,62,1
203,15,94,63,1
78,109,79,62,1
62,141,78,62,1
78,157,63,78,1
63,140,78,62,1
94,62,78,94,1
313,62,62,79,1
78,63,78,94,1
110,47,78,125,2
94,31,109,125,2
187,15,78,125,2
93,47,63,78,1
63,63,78,62,1
62,203,63,78,1
93,63,93,63,1
78,16,62,78,1
31,938,93,63,1
156,16,78,125,1
62,31,94,94,1
47,31,78,125,1
125,203,93,62,1
187,0,94,78,1
78,171,93,62,1
93,0,109,93,2
125,31,63,125,2
78,47,109,93,2
62,31,47,78,2
62,94,63,63,2
31,78,47,78,2
125,110,93,78,1
110,78,110,93,1
94,250,93,78,1
63,31,62,63,1
62,594,63,78,1
78,16,62,63,1
109,31,78,94,1
94,32,78,94,1
78,31,78,94,1
125,47,78,93,1
93,31,94,93,1
156,16,78,93,1
62,171,46,78,1
172,31,62,78,1
62,47,46,78,1
93,40,94,94,1
78,734,15,47,1
78,47,94,94,1
63,188,93,62,1
62,207,94,94,1
62,687,93,62,1
78,47,62,78,1
62,47,78,79,1
63,140,62,78,1
78,250,62,78,1
63,125,63,78,1
63,172,62,78,1
126,31,78,78,1
125,125,157,109,1
141,93,78,78,1
62,94,78,63,1
94,94,78,78,1
94,78,78,63,1
109,47,79,78,2
94,78,78,94,2
125,78,79,78,2
125,31,78,125,1
156,31,62,125,1
109,0,78,125,1
125,47,78,62,1
47,140,63,94,1
16,15,78,62,1
141,249,78,94,1
109,204,94,93,1
110,63,78,94,1
156,15,46,78,1
15,0,16,16,1
63,125,46,78,1
93,31,94,78,2
94,59,93,62,2
79,31,94,78,2
156,156,141,94,1
125,0,125,93,1
250,156,141,94,1
94,47,94,78,2
94,16,62,94,2
62,63,94,78,2
63,125,62,47,2
63,62,47,62,2
203,46,62,47,2
140,15,94,62,2
125,46,78,79,2
31,94,94,62,2
63,62,63,62,2
78,125,78,63,2
94,125,63,62,2
125,78,109,79,1
141,32,109,94,1
109,47,109,79,1
109,47,78,31,2
47,500,16,16,2
94,47,78,31,2
94,172,62,79,2
94,157,78,94,2
110,156,62,79,2
78,219,110,94,1
109,187,78,63,1
78,234,110,94,1
94,187,47,63,2
94,62,63,47,2
63,140,47,63,2
93,32,125,109,1
94,78,78,125,1
250,79,125,109,1
78,78,78,63,2
94,47,93,63,2
47,15,78,63,2
125,62,110,156,1
78,15,94,78,1
78,0,110,156,1
93,15,109,110,1
172,16,78,78,1
62,47,109,110,1
94,78,94,78,1
500,15,78,94,1
93,47,94,78,1
62,31,78,93,2
78,31,63,78,2
78,0,78,93,2
156,32,0,16,1
78,625,31,0,1
78,193,0,16,1
110,31,15,47,1
47,0,0,93,1
32,720,15,47,1
94,31,78,62,1
78,250,62,62,1
63,188,78,62,1
