,dtfk1,ft1,dtsk1,dtfk2,ft2,dtsk2,dtfk3,ft3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk6,ft6,dtsk6,dtfk7,ft7,dtsk7,dtfk8,ft8,dtsk8,dtfk9,ft9,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,ft14,dtsk14,sum,class
dtfk1,1.0,-0.10964940537671368,0.19437633830995707,0.06375793316066673,-0.07612846910110717,-0.05492600781095817,0.1887420005081587,-0.01979853278808643,0.11906437568159708,0.08402080081161811,0.06210200555347566,0.3695545519219059,-0.027853236062353282,-0.18335372803139843,0.0431932990008333,-0.13238153385837712,0.052880967140416735,0.2197668338494049,-0.0913287185769038,-0.15443684080689885,0.24349445439503412,-0.06221693624425237,-0.16238122413321102,-0.1590455914732983,0.04958408493348688,-0.11196902237724853,0.23250672750769727,-0.004174827197470258,-0.06624921862220567,-0.19096369477510367,0.02365213131793365,-0.046632603329378866,0.2762543870362768,-0.007413550140535868,-0.1233848661178659,-0.004110746208501866,0.18767403045931352,0.04994315918485172,0.1421306236968199,0.2999540555733854,0.099871803948101,0.3022319629272039,-0.06926059006765908,
ft1,-0.10964940537671368,1.0,0.060952900517916686,0.00947129196110619,0.10604740608577884,-0.04572861448457411,-0.06102098490235226,0.1279173988210714,0.03201473826833411,0.01166102201550694,-0.007021225202932124,-0.054700126697513715,-0.018237780119958556,0.28786853036065096,0.020356020875304477,-0.008291322741208697,0.042465566667669714,0.2571670600510263,-0.0046576926108724,-0.10897145286310755,0.05824095409714317,-0.020246259188270724,-0.022843919623164212,-0.029132434115866836,-0.09421072670705108,0.05646789394604689,0.06237128454914426,-0.030698076950126274,-0.0177046377023102,-0.011249108433812277,-0.07237468144524747,0.10513421714516065,-0.116024942560069,-0.05496667630751041,0.022691011371534488,0.0326411523057987,0.0379666323320418,-0.08007298627484058,-0.014853364755449044,-0.2721325110704468,0.12082068303548854,-0.10981837747351829,0.5064901482932356,
dtsk1,0.19437633830995707,0.060952900517916686,1.0,0.07382186347415802,-0.1402150111517994,0.19679724738260326,0.24267523893393914,0.06663823339470253,0.11699853312591892,0.17690299648721763,-0.02709996873382384,0.0705436377925101,-0.08403419850445441,-0.15956631917400127,0.0832632053367589,-0.058873569138809805,0.18187426362931333,0.022552740944800937,-0.01944650640422651,0.16756784572710998,0.0029296459443714637,0.06225158190492763,-0.17234098860658706,-0.23848241080339197,-0.17731933348149492,-0.39206330478887624,-0.023067686140838636,-0.03703518966830648,0.13476518124501644,-0.10673036443615813,0.20396687851132064,-0.09313043165569364,0.1804280170423392,0.05147310815238912,-0.17037552014164034,0.05784690075989581,0.005044820251955129,0.41439989749893125,-0.09814034003589901,0.043391139474946265,0.16145245321909385,0.37027711388538637,-0.09213315540785572,
dtfk2,0.06375793316066673,0.00947129196110619,0.07382186347415802,1.0,-0.2499487391879855,0.1598202745345259,0.2404095154456338,-0.0907623166163455,0.1360349928912006,0.24887157399948517,0.03695966830014049,0.3748278446176805,-0.0140797982587662,-0.10218115009997372,0.15622259351665166,-0.08761583694077946,0.1198478213737335,-0.020041030321743113,-0.11160400598292458,-0.0891853726700461,0.33711168301025063,0.3411860054591739,-0.16839926883486,-0.13903586928978667,0.2965742386365939,0.13377203202870952,-0.16169020702347317,-0.021546004643167343,-0.07584781385880454,-0.11842369362480927,0.2560875885173945,-0.23197524451024162,0.08956806983923808,0.04930372715951477,-0.06304877608837227,-0.08496917335771231,-0.059305305543928336,0.2625777438442837,-0.12329166554074517,0.29658699986557485,-0.12347950727894544,0.12717542903202253,0.10663391032119056,
ft2,-0.07612846910110717,0.10604740608577884,-0.1402150111517994,-0.2499487391879855,1.0,-0.07351278738983003,-0.13569894134009747,0.04013197827499569,-0.21247881403937774,-0.20474316923483293,0.27833208324454833,-0.14108143242228427,0.07836721294466016,0.2624664471415458,-0.19841095035300169,-0.010049877187772605,-0.0474257865658732,0.061785495135250015,0.030351219954747318,0.02964996415094254,0.06170147895356431,-0.08761431878267534,0.07634118987175234,0.07569161867543793,-0.04764440238775724,0.06528458514842586,0.19407137309003256,0.13005536223653236,-0.01956178943888296,0.07262238833225013,-0.11936171287671017,0.154550656462213,-0.1187752720420255,-0.08166415218681883,0.09729637890315614,0.016746969298738777,0.17901960644417347,-0.270478430120651,0.12542684301663226,-0.2512848018610707,0.027197211388570546,-0.07002319080767434,0.19281881963759614,
dtsk2,-0.05492600781095817,-0.04572861448457411,0.19679724738260326,0.1598202745345259,-0.07351278738983003,1.0,0.05862492087460731,0.17744595075283906,0.06537992983500551,0.1728974541060673,-0.05701192365331058,-0.040942307418067654,-0.01404581529365732,-0.08022167392770971,0.19312766945685134,-0.11602110221936769,0.06222555676833035,-0.10866110093552314,-0.017579868952386488,-0.013785023457423896,0.12377183403543605,0.12524848322882617,-0.18930623760227988,-0.23181729632247688,-0.030648074821658853,-0.21442685384084148,-0.06501864252181441,-0.05780628411137493,-0.10787359572214704,-0.0711946723958278,0.18077340025477473,-0.20852570989564898,0.2623195026057029,0.1268835312550668,-0.23737454002965208,-0.06916259940159081,-0.005651583932666017,0.05906339886576963,-0.20457172500051587,0.2731078028814076,-0.1895283946990688,0.12741440045118888,-0.12809642134165128,
dtfk3,0.1887420005081587,-0.06102098490235226,0.24267523893393914,0.2404095154456338,-0.13569894134009747,0.05862492087460731,1.0,-0.03481926919788411,0.3520162306320849,0.22633138366187838,-0.08966979756650295,-0.02411802933315554,-0.012763765600660587,-0.07072774827442889,0.28247721626867006,-0.18351362192000698,0.03324465587320755,0.18105019527455762,0.0034744762797625822,0.02120911840175029,-0.16236799911990668,0.18369747539466708,-0.07126266601503499,-0.042526238769058276,-0.15614365535682306,-0.00581514855702608,0.11351212613917963,-0.10728888492749218,-0.15874245497660655,-0.21655669742414,-0.02347710955641395,-0.05941728927535899,0.05542371840645224,0.34031902982308826,-0.1646918174611782,0.031023881832727345,-0.07542047390530307,0.11693985350493165,0.06829088480987146,0.1853402951775273,0.011903682406687325,0.1970723054113313,-0.034594748509373045,
ft3,-0.01979853278808643,0.1279173988210714,0.06663823339470253,-0.0907623166163455,0.04013197827499569,0.17744595075283906,-0.03481926919788411,1.0,-0.10495383004054866,0.012596355068983975,0.03494127216797646,-0.12297309409627911,-0.17780202652068433,-0.10856386857358018,0.09443698859809439,0.03443861496500095,0.3545298330253089,0.00601254645719505,-0.1092081677941417,0.3139103496376302,-0.09246734551492007,0.048203407369912916,-0.10972390853977033,-0.14366727980696575,-0.21876506863126674,-0.177915366735421,-0.13843938148592336,0.16874461399698076,0.06792526057012753,0.03240354533033488,0.10730928845036511,-0.03566216875647685,0.06494824520957658,0.03775597862344315,0.20610635756458381,0.06935541361993151,0.059729735821463195,0.13765113532567697,-0.024747272108674077,-0.1357491532670319,-0.07138104915096351,0.1257248347859814,0.0333000148606474,
dtsk3,0.11906437568159708,0.03201473826833411,0.11699853312591892,0.1360349928912006,-0.21247881403937774,0.06537992983500551,0.3520162306320849,-0.10495383004054866,1.0,0.377144241779234,0.020695641060336244,0.33950574664215594,0.10738089532948841,-0.01112915898229338,0.06686507229652223,-0.2927219517101538,0.044772351330632155,0.06546677983164281,0.11514138824480284,-0.1945394150575012,0.1819039888825998,0.19008988470543148,0.008526854109979347,0.01502971028663945,0.11444943758889906,0.18039481837950894,0.05988454065741947,-0.091637465152177,-0.14144594605709776,-0.10604774942763423,0.018756285998840473,-0.17445447207870624,0.13344683992864423,-0.03503838543588093,-0.21402870330863127,-0.24419032692992287,-0.09564522071340645,-0.035987710152908275,0.11572900761421898,0.0838367030745824,-0.12850728835403472,0.17279063855169743,0.07531261958471713,
dtfk4,0.08402080081161811,0.01166102201550694,0.17690299648721763,0.24887157399948517,-0.20474316923483293,0.1728974541060673,0.22633138366187838,0.012596355068983975,0.377144241779234,1.0,-0.23183609899546204,0.31410056338718456,-0.10768271961760703,-0.15180836030990472,0.2996742484211845,-0.0908291574439796,-0.11911482307345699,0.0871441287619492,-0.195573765997053,0.03511588588250497,0.1906174756784804,0.15956880146487742,0.2565988704969755,0.31073337700304515,0.22961919849840842,0.2919839545226663,-0.059236767068080995,-0.026823305574708495,-0.011930800105999284,-0.0723503935491289,0.18232709710099163,-0.1557931784095792,0.24907291606690032,-0.28021735553949073,-0.20727065357909613,-0.2702257537927693,0.381665736834602,0.13318618367221136,0.04883025135577729,0.3225947948542928,0.08355192623316618,0.3582517183185033,0.21898638800589423,
