,dtfk4_x,ft4_x,dtfk7_x,dtfk10_x,dtsk10_x,dtfk11,ft12,class,dtfk1_x,ft5_x,dtfk14_x,dtsk14_x,dtfk1_y,ft1,dtfk2,dtsk3,dtfk4_y,ft4_y,dtsk4,dtfk5,ft5_y,dtsk5,dtfk7_y,dtsk7,dtfk8,ft8,dtsk8,dtfk9,ft9,dtsk9,dtfk10_y,dtsk10_y,ft11,dtfk13,ft13,dtfk14_y,ft14,dtsk14_y
dtfk4_x,1.0,-0.1315722805821291,-0.014254941466897307,0.08821812754361787,0.16477424565139068,0.0004203086332087126,0.09335599615239916,-0.011257099438422846,0.0001392619942962945,0.0003521676384808497,0.00033329577049362875,0.0004328705489850976,0.0001392619942967137,-0.001000481777240577,0.00013642271699166873,-7.048676969338652e-05,0.0001267222877595648,0.000820035465735149,0.0005354027672288049,0.0006274583720371767,0.00035216763848088043,0.00024331093690022111,0.00027069279582652176,0.0005629753734685608,-6.67574699013343e-05,-0.00019564456545795037,-0.00032429584718594867,-4.2115404220770437e-07,-2.6024376229951453e-05,8.348710897801076e-05,7.401441076202053e-05,-0.00033767452985067136,4.312184344333194e-05,0.0005638418425604772,0.00046036695715418743,0.0003332957704913521,0.0005709765233395126,0.0004328705489834387
ft4_x,-0.1315722805821291,1.0,-0.023977463981913194,0.08310763145390623,0.20283070765926262,0.004630968386443928,0.11071860267699755,-0.07284607107135005,0.0009011814446455176,0.002278919979613164,0.002156797807363454,0.002801158411183095,0.0009011814446466139,-0.006474240282928279,0.0008828081329852316,-0.00045612853142162343,0.0008200354657278819,0.005306550070652171,0.003464656970285233,0.004060360079123078,0.0022789199796131375,0.001574494913160886,0.001751686280447345,0.0036430826869145927,-0.0004319957750899916,-0.00126603997759489,-0.002098558199849417,-2.7253394588527226e-06,-0.00016840693030206695,0.0005402553213353454,0.000478956329419516,-0.0021851332962122367,0.0002790467375294944,0.0036486897146621802,0.0029790910406620285,0.0021567978073624037,0.0036948591089902886,0.0028011584111818687
dtfk7_x,-0.014254941466897307,-0.023977463981913194,1.0,0.22108329669682533,-0.036328483880438474,-0.0910852491794137,0.21038564228152332,-0.02404640709757183,0.00029747899328025877,0.000752268952416452,0.0007119565590862558,0.0009246592782489867,0.00029747899328007386,-0.0021371395217437404,0.0002914139835210244,-0.00015056752126859887,0.0002706927958262668,0.0017516862804736668,0.0011436794151756823,0.0013403203493317845,0.0007522689524162742,0.0005197390208970989,0.0005782296943027848,0.0012025775459297435,-0.0001426013252252734,-0.0004179183894921828,-0.0006927317293754372,-8.996315263482166e-07,-5.5590940520646764e-05,0.00017833768111821582,0.00015810295201613373,-0.0007213100724622951,9.211301791824525e-05,0.0012044284195567262,0.0009833946414776475,0.0007119565590843662,0.00121966888530884,0.0009246592782476823
dtfk10_x,0.08821812754361787,0.08310763145390623,0.22108329669682533,1.0,-0.011493582434274403,0.010094431062683016,0.3770495952479522,-0.0065749095645244865,8.133844986399007e-05,0.00020568978601228442,0.00019466733515812848,0.00025282575927824946,8.133844986475423e-05,-0.0005843492138250676,7.968011935029989e-05,-4.1169054140510405e-05,7.401441076322965e-05,0.000478956329430662,0.0003127115287990702,0.0003664782455015057,0.00020568978601259724,0.00014211008928334204,0.00015810295201836334,0.0003288158009128074,-3.899089012897497e-05,-0.00011426969547113454,-0.0001894107695455799,-2.4598252466900645e-07,-1.5200000775478435e-05,4.876213400768681e-05,4.322943578048092e-05,-0.00019722482760673856,2.5186081232880603e-05,0.0003293218776205568,0.0002688855265436516,0.00019466733515578722,0.0003334890150908636,0.0002528257592801306
dtsk10_x,0.16477424565139068,0.20283070765926262,-0.036328483880438474,-0.011493582434274403,1.0,0.23205112370481507,0.03221707287535852,0.029996584085767216,-0.0003710888532927137,-0.0009384145745621441,-0.0008881270579592591,-0.001153462123384101,-0.00037108885329326124,0.0026659652357508648,-0.00036352308371849815,0.000187824787877787,-0.0003376745298568846,-0.0021851332962534212,-0.0014266778236450793,-0.0016719766864758878,-0.0009384145745623784,-0.0006483461408483811,-0.0007213100724642382,-0.0015001500361204627,0.00017788739188762508,0.0005213304449398155,0.0008641451292370635,1.1222413650744182e-06,6.934667266361957e-05,-0.00022246655084946025,-0.00019722482760615108,0.0008997950568078278,-0.00011490597643829689,-0.0015024589002340604,-0.001226731292240892,-0.0008881270579605815,-0.0015214705517725459,-0.0011534621233860686
dtfk11,0.0004203086332087126,0.004630968386443928,-0.0910852491794137,0.010094431062683016,0.23205112370481507,1.0,-0.06859743166263843,-0.03523039875519343,0.00043583656851213395,0.0011021494835793996,0.0010430877831743167,0.0013547186052722104,0.0004358365685119725,-0.0031311237990845893,0.00042695072076833585,-0.00022059652372598054,0.0003965921020275449,0.0025663961316220083,0.0016756050781646951,0.0019637037738887086,0.00110214948357979,0.0007614698062942237,0.0008471645106720827,0.0017618967484355494,-0.0002089252473468361,-0.0006122923665496918,-0.0010149214789937605,-1.3180504379410833e-06,-8.144630479522855e-05,0.0002612825938325562,0.0002316366857325913,-0.0010567916186274436,0.00013495481211029154,0.0017646084639753286,0.0014407718047903266,0.001043087783176411,0.0017869372752423948,0.0013547186052737916
ft12,0.09335599615239916,0.11071860267699755,0.21038564228152332,0.3770495952479522,0.03221707287535852,-0.06859743166263843,1.0,-0.022174150057045223,0.0002743172320597921,0.0006936971734249329,0.0006565235093815806,0.0008526651613689612,0.0002743172320592366,-0.001970741502359618,0.00026872444491518995,-0.00013884431037287833,0.00024961661215453895,0.0016152997110810436,0.001054632355968568,0.0012359627960563105,0.0006936971734255511,0.0004792720589581138,0.0005332086393325305,0.0011089446689963557,-0.00013149836360739524,-0.0003853791979335762,-0.0006387955279333696,-8.295860741587444e-07,-5.1262621145473616e-05,0.00016445228120704473,0.0001457930312968608,-0.0006651487567280183,8.49410838501646e-05,0.0011106514333116548,0.0009068273799675343,0.0006565235093810654,0.001124705273994981,0.000852665161364106
class,-0.011257099438422846,-0.07284607107135005,-0.02404640709757183,-0.0065749095645244865,0.029996584085767216,-0.03523039875519343,-0.022174150057045223,1.0,-0.012371037056505874,-0.03128404793954405,-0.029607606499911725,-0.03845311586421179,-0.012371037056508626,0.08887562757571284,-0.012118816018446207,0.0062615392252632724,-0.011257099438086686,-0.07284607107254937,-0.04756134297039853,-0.055738902859300964,-0.031284047939543425,-0.021613999080465966,-0.024046407097570624,-0.05001069561217113,0.0059302549709923085,0.017379660412303592,0.02880811784315675,3.7412305409925804e-05,0.002311818987961433,-0.007416396154083331,-0.006574909564439106,0.029996584085672434,-0.0038306353853311743,-0.050087666513604266,-0.04089569961472169,-0.029607606499910392,-0.05072146039769578,-0.03845311586420924
dtfk1_x,0.0001392619942962945,0.0009011814446455176,0.00029747899328025877,8.133844986399007e-05,-0.0003710888532927137,0.00043583656851213395,0.0002743172320597921,-0.012371037056505874,1.0,-0.15514980291888572,0.17837309535924023,0.08752730956600858,0.0001530425578533133,-0.0010994836821609918,0.00014992232204563374,-7.746173378685435e-05,0.00013926199429741324,0.0009011814446620479,0.0005883831363445719,0.0006895480327618447,0.000387016116338713,0.000267387583564631,0.0002974789932803248,0.0006186841686418313,-7.336340400083204e-05,-0.0002150044229903587,-0.00035638629336734413,-4.628290165964172e-07,-2.8599598368087065e-05,9.174851164789486e-05,8.133844986471761e-05,-0.00037108885329270786,4.7388932301945755e-05,0.0006196363785143617,0.0005059222153863672,0.00036627679716663523,0.0006274770661408691,0.00047570492129660137
ft5_x,0.0003521676384808497,0.002278919979613164,0.000752268952416452,0.00020568978601228442,-0.0009384145745621441,0.0011021494835793996,0.0006936971734249329,-0.03128404793954405,-0.15514980291888572,1.0,-0.14500813784609343,-0.21375560343497868,0.0003870161163387248,-0.0027803893937503495,0.00037912562129414895,-0.00019588629330010747,0.0003521676384828878,0.0022789199796561543,0.0014879113335608898,0.0017437385091547933,0.0009786916554902292,0.0006761733834033292,0.0007522689524183802,0.001564536999032305,-0.00018552238080741038,-0.00054370612951379,-0.0009012345396603895,-1.1704083559850686e-06,-7.232305604739755e-05,0.00023201489282387148,0.00020568978601240173,-0.0009384145745629189,0.00011983778103429594,0.0015669449603988022,0.001279383027276376,0.0009262457811268011,0.0015867725986530475,0.0012029691201302798
